tripid,userid,name,trippointid,lat,lon,speed,recordedtimestamp,sequence,enginerpm,shorttermfuelbank,longtermfuelbank,throttleposition,relativethrottleposition,runtime,distancewithmil,engineload,mafflowrate,outsidetemperature,enginefuelrate
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,88559310-8eb8-4114-b985-c09ca3ba8621,47.6397198585748,-122.1302857409555,-255,2018-03-14T00:00:01.1814810Z,28,5,-7,-255,323,-255,0,-255,-255,3,,20
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,30185595-fa53-4c2a-bad6-bff1aa0fc11e,47.6397198585748,-122.1302857409555,-255,2018-03-14T00:00:01.2076040Z,29,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,cff2568b-ac61-4d23-abe5-6c96fd0e07e2,47.639727395182682,-122.13035807215772,-255,2018-03-14T00:00:04.2111170Z,31,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,59f045ab-c4f6-49ee-8298-e711f9fb57c1,47.639727395182682,-122.13035807215772,-255,2018-03-14T00:00:04.1859600Z,30,-255,-255,-255,-255,-255,-255,6,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,d676dc60-33b2-44bf-a2d2-79ce2d4176bf,47.639747600541135,-122.13042613206015,-255,2018-03-14T00:00:06.2241590Z,32,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,449c7bb0-efd9-40ec-8ad0-f925df49a1fb,47.639747600541135,-122.13042613206015,-255,2018-03-14T00:00:06.2515940Z,33,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,9c6cf3fe-c4f9-4d60-a2cd-d8772a7c7e56,47.639781360887284,-122.13047426669728,-255,2018-03-14T00:00:07.2125350Z,34,-255,34,1,-255,-255,-255,-255,-4,-3,,17


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,4e57e5f7-d374-40b0-a82e-89eb3d2d1a14,47.639781360887284,-122.13047426669728,-255,2018-03-14T00:00:07.2404300Z,35,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,1a1a33fc-ed72-4645-adf7-5189dd23d21f,47.639828484131669,-122.13050526646751,330,2018-03-14T00:00:08.3430680Z,36,30,1577,20,0,0,21,12,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,7448ab89-8d2d-42a2-a793-d29388a63fa7,47.639828484131669,-122.13050526646751,-255,2018-03-14T00:00:08.3682250Z,37,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,18232b71-5132-4de9-a66c-102198e248a5,47.639887553375281,-122.13052115936316,-255,2018-03-14T00:00:09.3206240Z,38,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,3c3c829a-b7d6-4138-a279-b21d7ca8c974,47.639887553375281,-122.13052115936316,-255,2018-03-14T00:00:09.3510390Z,39,-255,-255,-255,-255,-255,-255,-255,-255,-255,,11


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,5ad4647e-b5e7-4fa4-814e-c50aab60f2bb,47.639952446976892,-122.13052395485327,-255,2018-03-14T00:00:10.3755430Z,41,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,30432886-ec4f-41a5-a4e4-cba4538a0050,47.639952446976892,-122.13052395485327,-255,2018-03-14T00:00:10.3453400Z,40,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,846dde9f-01e3-4f14-a351-d7165fa6d24a,47.640021944085817,-122.13052221202055,-255,2018-03-14T00:00:11.3290720Z,42,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,6d64bf16-fee1-4e52-bc5f-965dcbe04483,47.640021944085817,-122.13052221202055,-255,2018-03-14T00:00:11.3575980Z,43,-255,-255,-255,-255,-255,-255,-255,-255,-255,,50


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,5a0d4e3e-5d9a-4209-83a0-e435cf637dec,47.640103658251064,-122.13052101303094,2101,2018-03-14T00:00:12.3262440Z,44,30,2060,45,46,-255,-255,-255,-4,-4,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,2ebd3d5a-eddb-4071-b651-dc4e66ee2039,47.640103658251064,-122.13052101303094,-255,2018-03-14T00:00:12.3581600Z,45,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,b12295a1-9e94-4ddd-a15a-68296643aec7,47.640198965731763,-122.13051905884824,334,2018-03-14T00:00:13.3272400Z,46,-255,-255,-255,0,0,17,11,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,aad0b2b1-e7be-4261-808b-92395cad5073,47.640198965731763,-122.13051905884824,-255,2018-03-14T00:00:13.3592270Z,47,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,d70c3548-93cd-46ea-93ab-450727ab0af4,47.640305322168331,-122.13051845392026,-255,2018-03-14T00:00:14.3595380Z,49,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


